"Timestamp","Username","Are you willing to pledge your commitment to the Shorter Shower Challenge?","How much time will you reduce your shower by?","How long are you willing to participate in this challenge?","When will you begin this challenge?","Preferred Shower Temperature?","Do you have any other questions before beginning this challenge?"
"2025/04/04 10:56:41 AM AST","Anonymous","Yes","5 minutes","One year","Today","Warm","N/A"
"2025/04/06 3:00:50 PM AST","Anonymous","Yes","5 minutes","One year","Today","Warm","No"
"2025/04/06 3:27:16 PM AST","Anonymous","Yes","3 minutes","One year","Today","Super Hot","No"
"2025/04/06 5:27:14 PM AST","Anonymous","Yes","5 minutes","One year","today","Super Hot","n/a"
"2025/04/06 8:37:14 PM AST","Anonymous","Yes","5 minutes","One year","Today","Super Hot","No"
"2025/04/06 8:40:11 PM AST","Anonymous","Yes","5 minutes","One year","tn","Super Hot","so excited to embark!!"
"2025/04/06 11:07:34 PM AST","Anonymous","Yes","5 minutes","One year","now","Warm","nope"
"2025/04/07 11:30:42 AM AST","Anonymous","Yes","3 minutes","6 months","Today","Super Hot","No"
"2025/04/07 4:17:01 PM AST","Anonymous","Yes","3 minutes","One year","Today","Lukewarm","not at the moment"
"2025/04/07 5:12:03 PM AST","Anonymous","Yes","3 minutes","6 months","today","Warm","No"
"2025/04/19 9:02:50 AM AST","Anonymous","Yes","3 minutes","6 months","Now","Super Hot","No"
"2025/04/22 5:37:09 PM AST","Anonymous","Yes","3 minutes","One year","4/22/25","Warm","No, good luck!"
"2025/04/22 7:16:40 PM AST","Anonymous","Yes","3 minutes","6 months","This week","Super Hot","No "
"2025/04/22 8:13:54 PM AST","Anonymous","Yes","3 minutes","6 months","Today","Super Hot","NA"
